idade,sexo,trabalho,moradia,conta_poupanca,conta_corrente,quantidade_credito,duracao,objetivo,pagamento_realizado
40,feminino,2,própria,rico,moderado,1322,11,carro,1
36,masculino,3,gratuita,pouco,pouco,1940,18,rádio/TV,0
28,masculino,2,própria,pouco,não possui,3595,36,rádio/TV,1
27,masculino,3,gratuita,pouco,pouco,1422,9,carro,1
36,masculino,2,própria,não possui,não possui,6742,30,rádio/TV,0
38,masculino,3,própria,pouco,não possui,7814,24,carro,0
48,masculino,2,gratuita,não possui,não possui,9277,24,carro,0
36,masculino,2,própria,não possui,moderado,2181,30,carro,0
65,feminino,0,própria,pouco,não possui,1098,18,rádio/TV,0
43,masculino,2,própria,pouco,moderado,4057,24,móveis/equipamentos,0
53,feminino,2,própria,pouco,pouco,795,12,educação,1
34,masculino,2,própria,não possui,moderado,2825,24,negócios,0
23,masculino,2,própria,pouco,moderado,15672,48,negócios,1
34,masculino,3,própria,pouco,não possui,6614,36,carro,0
40,masculino,2,alugada,não possui,não possui,7824,28,carro,0
43,masculino,3,própria,pouco,pouco,2442,27,negócios,1
46,masculino,2,própria,pouco,não possui,1829,15,rádio/TV,0
38,masculino,1,própria,pouco,pouco,2171,12,carro,0
34,masculino,2,própria,pouco,moderado,5800,36,carro,0
29,masculino,2,própria,não possui,não possui,1169,18,rádio/TV,1
31,masculino,3,própria,não possui,não possui,8947,36,carro,0
28,feminino,3,alugada,pouco,pouco,2606,21,rádio/TV,0
35,feminino,2,própria,rico,não possui,1592,12,móveis/equipamentos,0
33,feminino,1,alugada,não possui,não possui,2186,15,móveis/equipamentos,0
42,masculino,2,própria,pouco,pouco,4153,18,móveis/equipamentos,0
43,masculino,2,alugada,pouco,pouco,2625,16,carro,0
44,masculino,2,própria,não possui,não possui,3485,20,carro,0
42,masculino,2,gratuita,não possui,não possui,10477,36,carro,1
40,masculino,2,alugada,não possui,não possui,1386,15,rádio/TV,0
36,masculino,3,própria,pouco,não possui,1278,24,rádio/TV,0
20,masculino,3,alugada,pouco,pouco,1107,12,rádio/TV,0
24,masculino,1,própria,não possui,pouco,3763,21,carro,0
27,masculino,2,própria,não possui,moderado,3711,36,educação,1
46,feminino,1,própria,pouco,não possui,3594,15,carro,0
33,feminino,1,própria,não possui,moderado,3195,9,carro,1
34,feminino,2,própria,pouco,não possui,4454,36,rádio/TV,0
25,feminino,1,própria,pouco,moderado,4736,24,móveis/equipamentos,1
25,feminino,2,própria,não possui,moderado,2991,30,rádio/TV,0
28,masculino,2,própria,rico,não possui,2142,11,negócios,1
31,masculino,2,alugada,pouco,pouco,3161,24,negócios,0
32,feminino,3,própria,pouco,moderado,18424,48,férias/outros,1
32,masculino,2,própria,moderado,não possui,2848,10,carro,1
68,masculino,3,própria,pouco,pouco,14896,6,carro,1
33,masculino,2,própria,moderado,pouco,2359,24,móveis/equipamentos,0
39,masculino,3,alugada,pouco,pouco,3345,24,móveis/equipamentos,0
28,feminino,2,própria,pouco,não possui,1817,18,móveis/equipamentos,0
37,masculino,3,própria,bastante,não possui,12749,48,rádio/TV,1
22,feminino,2,alugada,pouco,pouco,1366,9,rádio/TV,1
30,masculino,2,alugada,pouco,moderado,2002,12,carro,0
55,masculino,2,própria,pouco,pouco,6872,24,móveis/equipamentos,0
46,masculino,2,própria,pouco,pouco,697,12,carro,0
21,feminino,2,alugada,pouco,pouco,1049,18,móveis/equipamentos,0
39,masculino,2,gratuita,pouco,pouco,10297,48,carro,1
58,masculino,2,própria,não possui,não possui,1867,30,rádio/TV,0
43,masculino,1,própria,pouco,pouco,1344,12,carro,0
24,masculino,1,própria,pouco,pouco,1747,24,móveis/equipamentos,0
22,feminino,2,própria,pouco,moderado,1670,9,rádio/TV,1
30,masculino,2,própria,pouco,não possui,1224,9,carro,1
42,masculino,2,própria,bastante,não possui,522,12,rádio/TV,0
23,feminino,2,própria,pouco,pouco,1498,12,rádio/TV,0
30,masculino,3,própria,moderado,moderado,1919,30,rádio/TV,0
28,feminino,1,própria,pouco,rico,745,9,rádio/TV,1
30,masculino,3,alugada,pouco,moderado,2063,6,rádio/TV,1
42,masculino,2,gratuita,pouco,moderado,6288,60,educação,0
46,masculino,3,própria,não possui,não possui,6842,24,carro,1
45,masculino,3,própria,não possui,não possui,3527,12,carro,1
31,masculino,1,própria,pouco,não possui,1546,10,carro,1
31,masculino,2,própria,não possui,não possui,929,24,móveis/equipamentos,0
42,masculino,1,própria,pouco,não possui,1455,4,carro,1
46,feminino,2,alugada,pouco,pouco,1845,15,móveis/equipamentos,1
30,feminino,2,própria,bastante,moderado,8358,48,carro,0
30,masculino,2,gratuita,bastante,pouco,3349,24,móveis/equipamentos,0
38,masculino,3,própria,não possui,não possui,2859,12,carro,0
43,masculino,1,própria,pouco,não possui,1533,18,móveis/equipamentos,0
31,masculino,2,própria,moderado,não possui,3621,24,rádio/TV,0
40,masculino,0,própria,pouco,moderado,3590,18,negócios,0
24,masculino,2,própria,pouco,pouco,2145,36,negócios,1
28,feminino,2,alugada,bastante,moderado,4113,24,carro,0
26,feminino,3,própria,pouco,não possui,10974,36,móveis/equipamentos,1
29,feminino,2,própria,pouco,pouco,1893,12,carro,0
57,feminino,3,alugada,rico,pouco,1231,24,rádio/TV,0
49,masculino,1,própria,não possui,rico,3656,30,rádio/TV,0
37,masculino,1,própria,pouco,moderado,1154,9,rádio/TV,1
45,masculino,1,própria,pouco,pouco,4006,28,carro,0
30,masculino,2,gratuita,moderado,moderado,3069,24,móveis/equipamentos,0
30,masculino,2,alugada,pouco,não possui,1740,6,rádio/TV,1
47,masculino,2,própria,pouco,moderado,2353,21,carro,0
29,masculino,2,própria,não possui,não possui,3556,15,carro,1
35,masculino,2,própria,bastante,não possui,2397,24,rádio/TV,0
22,masculino,1,própria,pouco,moderado,454,6,reparos,1
26,feminino,2,própria,não possui,moderado,1715,30,rádio/TV,0
23,masculino,1,própria,bastante,moderado,2520,27,rádio/TV,0
54,feminino,3,alugada,pouco,não possui,3568,15,rádio/TV,0
29,masculino,2,alugada,não possui,não possui,7166,42,rádio/TV,1
40,masculino,1,própria,pouco,pouco,3939,11,carro,1
22,masculino,2,própria,moderado,moderado,1514,15,reparos,1
43,masculino,1,própria,pouco,não possui,7393,24,carro,0
29,feminino,0,alugada,pouco,pouco,1193,24,carro,0
36,masculino,2,alugada,pouco,pouco,7297,60,negócios,0
33,feminino,2,própria,pouco,não possui,2831,30,rádio/TV,0
57,feminino,1,própria,bastante,rico,1258,24,rádio/TV,0
64,feminino,2,própria,pouco,moderado,753,6,rádio/TV,1
42,masculino,2,própria,não possui,moderado,2427,18,negócios,0
47,masculino,1,própria,pouco,não possui,2538,24,carro,0
25,masculino,2,alugada,moderado,moderado,1264,15,carro,1
49,masculino,2,própria,pouco,moderado,8386,30,móveis/equipamentos,0
33,masculino,3,alugada,pouco,não possui,4844,48,negócios,0
28,feminino,3,própria,moderado,rico,2923,21,carro,0
26,masculino,2,própria,pouco,pouco,8229,36,carro,1
30,masculino,1,própria,pouco,não possui,2028,24,móveis/equipamentos,0
25,feminino,2,alugada,pouco,pouco,1433,15,móveis/equipamentos,0
33,masculino,2,própria,pouco,rico,6289,42,negócios,0
64,feminino,2,própria,moderado,não possui,1409,13,rádio/TV,1
29,masculino,3,gratuita,pouco,pouco,6579,24,carro,0
48,masculino,1,própria,pouco,moderado,1743,24,rádio/TV,0
37,masculino,1,própria,não possui,não possui,3565,12,educação,0
34,masculino,1,própria,moderado,não possui,1569,15,rádio/TV,0
23,masculino,1,alugada,não possui,pouco,1936,18,rádio/TV,0
30,masculino,3,própria,pouco,pouco,3959,36,móveis/equipamentos,0
50,masculino,2,própria,não possui,não possui,2390,12,carro,0
31,feminino,1,própria,pouco,não possui,1736,12,móveis/equipamentos,0
40,masculino,3,própria,pouco,pouco,3857,30,carro,0
38,masculino,2,própria,pouco,não possui,804,12,rádio/TV,0
23,masculino,2,gratuita,pouco,pouco,1845,45,rádio/TV,1
27,masculino,2,própria,moderado,moderado,4576,45,carro,1
